,Force (lbf),,,
0,-0.5438,,,
1,-0.5437,,,
2,-0.5438,,,-0.54378
3,-0.5438,,,
4,-0.5438,,,
5,-5.5415,-4.99772,4.99772,
6,-5.5419,-4.99812,4.99812,
7,-5.5385,-4.99472,4.99472,
8,-5.5378,-4.99402,4.99402,
9,-5.5402,-4.99642,4.99642,
10,-5.5418,-4.99802,4.99802,
11,-5.5418,-4.99802,4.99802,
12,-5.5458,-5.00202,5.00202,
13,-5.5455,-5.00172,5.00172,
14,-5.5475,-5.00372,5.00372,
15,-5.5455,-5.00172,5.00172,
16,-5.5456,-5.00182,5.00182,
17,-5.5465,-5.00272,5.00272,
18,-5.5488,-5.00502,5.00502,
19,-5.5497,-5.00592,5.00592,
20,-5.5429,-4.99912,4.99912,
21,-5.5559,-5.01212,5.01212,
22,-5.5458,-5.00202,5.00202,
23,-5.5439,-5.00012,5.00012,
24,-5.5489,-5.00512,5.00512,
25,-5.543,-4.99922,4.99922,
26,-5.5001,-4.95632,4.95632,
27,-5.5486,-5.00482,5.00482,
28,-5.5461,-5.00232,5.00232,
29,-5.5428,-4.99902,4.99902,
30,-5.5437,-4.99992,4.99992,
31,-5.5398,-4.99602,4.99602,
32,-5.5438,-5.00002,5.00002,
33,-5.543,-4.99922,4.99922,
34,-5.5443,-5.00052,5.00052,
