,Force (lbf),,,,,,
0,-0.5429,,,,,,
1,-0.543,,,,,,
2,-0.5431,,0.5431,,5.5431,,
3,-0.5432,,,,,,
4,-0.5433,,,,-0.5431,,-3.279190909
5,-5.5497,,,,,,
6,-5.5485,,,,,-5.5431,
7,-5.5475,,,,,,
8,-5.5804,,,,,,
9,-5.5491,,,,,,
10,-5.5513,,,,,,
11,-5.5503,,,,,,
12,-5.5489,,,,,,
13,-5.5429,,,,,,
14,-5.5464,,,,,,
15,-5.5518,,,,,,
16,-5.5506,,,,,,
17,-5.5487,,,,,,
18,-5.5053,,,,,,
19,-5.5483,,,,,,
20,-5.5471,,,,,,
21,-5.5439,,,,-5.5053,,
22,-5.5492,,,,,,
23,-5.5472,,,,,,
24,-5.5388,,,,,,
25,-5.5523,,,,,,
26,-5.5441,,,,,,
27,-5.5475,,,,,,
28,-5.5467,,,,,,
29,-5.5488,,,,,,
30,-5.5498,,,,,,
31,-5.5576,,,,,,
32,-5.55,,,,,,
33,-5.5456,,,,,,
34,-5.548,,,,,,
35,-5.5499,,,,,,
36,-5.5453,,,,,,
37,-5.5508,,,,,,
38,-5.5463,,,,,,
39,-5.5487,,,,,,
40,-5.5512,,,,,,
41,-5.5494,,,,,,
42,-5.5462,,,,,,
43,-5.5406,,,,,,
44,-5.5398,,,,,,
45,-5.5469,,,,,,
46,-5.5518,,,,,,
47,-5.5487,,,,,,
48,-5.545,,,,,,
49,-5.5485,,,,,,
50,-5.5491,,,,,,
51,-5.5507,,,,,,
52,-5.5507,,,,,,
53,-5.5481,,,,,,
54,-5.5472,,,,,,
55,-5.5506,,,,,,
56,-5.5446,,,,,,
57,-5.5439,,,,,,
58,-5.5499,,,,,,
59,-5.548,,,,,,
